Surface,Type,Facades,s,e,l
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,1
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,2
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,14
Standing,NA,3,0.0,1178.0,24
Standing,NA,3,0.0,1178.0,21
Standing,NA,3,0.0,1178.0,16
Standing,NA,3,0.0,1178.0,13
Standing,NA,3,0.0,1178.0,6
Standing,NA,3,0.0,1178.0,4
Standing,NA,3,0.0,1178.0,4
Standing,NA,3,0.0,1178.0,47
Standing,NA,3,0.0,1178.0,46
Standing,NA,3,0.0,1178.0,3
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,1
Standing,NA,3,0.0,1178.0,3
Standing,NA,3,0.0,1178.0,2
Standing,NA,3,0.0,1178.0,1
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,1
Standing,NA,3,0.0,1178.0,7
Standing,NA,3,0.0,1178.0,48
Standing,NA,3,0.0,1178.0,30
Standing,NA,3,0.0,1178.0,43
Standing,NA,3,0.0,1178.0,51
Standing,NA,3,0.0,1178.0,237
Standing,NA,3,0.0,1178.0,886
Standing,NA,3,0.0,1178.0,553
Standing,NA,3,0.0,1178.0,150
Standing,NA,3,0.0,1178.0,109
Standing,NA,3,0.0,1178.0,86
Standing,NA,3,0.0,1178.0,153
Standing,NA,3,0.0,1178.0,264
Standing,NA,3,0.0,1178.0,41
Standing,NA,3,0.0,1178.0,28
Standing,NA,3,0.0,1178.0,8
Standing,NA,3,0.0,1178.0,2
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,12
Standing,NA,3,0.0,1178.0,5
Standing,NA,3,0.0,1178.0,4
Standing,NA,3,0.0,1178.0,10
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,1
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,3
Standing,NA,3,0.0,1178.0,4
Standing,NA,3,0.0,1178.0,11
Standing,NA,3,0.0,1178.0,9
Standing,NA,3,0.0,1178.0,41
Standing,NA,3,0.0,1178.0,34
Standing,NA,3,0.0,1178.0,110
Standing,NA,3,0.0,1178.0,633
Standing,NA,3,0.0,1178.0,1147
Standing,NA,3,0.0,1178.0,474
Standing,NA,3,0.0,1178.0,586
Standing,NA,3,0.0,1178.0,283
Standing,NA,3,0.0,1178.0,173
Standing,NA,3,0.0,1178.0,224
Standing,NA,3,0.0,1178.0,323
Standing,NA,3,0.0,1178.0,318
Standing,NA,3,0.0,1178.0,334
Standing,NA,3,0.0,1178.0,338
Standing,NA,3,0.0,1178.0,88
Standing,NA,3,0.0,1178.0,11
Standing,NA,3,0.0,1178.0,2
Standing,NA,3,0.0,1178.0,4
Standing,NA,3,0.0,1178.0,5
Standing,NA,3,0.0,1178.0,8
Standing,NA,3,0.0,1178.0,58
Standing,NA,3,0.0,1178.0,102
Standing,NA,3,0.0,1178.0,42
Standing,NA,3,0.0,1178.0,33
Standing,NA,3,0.0,1178.0,5
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,1
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,0
Standing,NA,3,0.0,1178.0,7
Standing,NA,3,0.0,1178.0,53
Standing,NA,3,0.0,1178.0,45
Standing,NA,3,0.0,1178.0,94
Standing,NA,3,0.0,1178.0,23
Standing,NA,3,0.0,1178.0,39
Standing,NA,3,0.0,1178.0,49
Standing,NA,3,0.0,1178.0,82
Standing,NA,3,0.0,1178.0,221
Standing,NA,3,0.0,1178.0,113
Standing,NA,3,0.0,1178.0,172
Standing,NA,3,0.0,1178.0,294
Standing,NA,3,0.0,1178.0,214
Standing,NA,3,0.0,1178.0,174
Standing,NA,3,0.0,1178.0,88
Standing,NA,3,0.0,1178.0,208
Standing,NA,3,0.0,1178.0,866
Standing,NA,3,0.0,1178.0,1070
Standing,NA,3,0.0,1178.0,723
Standing,NA,3,0.0,1178.0,485
Standing,NA,3,0.0,1178.0,93
