Surface,Type,Facades,s,e,l
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,1
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,2
Standing,NA,3,0.0,1264.0,3
Standing,NA,3,0.0,1264.0,3
Standing,NA,3,0.0,1264.0,14
Standing,NA,3,0.0,1264.0,25
Standing,NA,3,0.0,1264.0,23
Standing,NA,3,0.0,1264.0,18
Standing,NA,3,0.0,1264.0,15
Standing,NA,3,0.0,1264.0,6
Standing,NA,3,0.0,1264.0,4
Standing,NA,3,0.0,1264.0,6
Standing,NA,3,0.0,1264.0,47
Standing,NA,3,0.0,1264.0,47
Standing,NA,3,0.0,1264.0,3
Standing,NA,3,0.0,1264.0,2
Standing,NA,3,0.0,1264.0,3
Standing,NA,3,0.0,1264.0,5
Standing,NA,3,0.0,1264.0,2
Standing,NA,3,0.0,1264.0,1
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,1
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,1
Standing,NA,3,0.0,1264.0,1
Standing,NA,3,0.0,1264.0,2
Standing,NA,3,0.0,1264.0,9
Standing,NA,3,0.0,1264.0,49
Standing,NA,3,0.0,1264.0,30
Standing,NA,3,0.0,1264.0,49
Standing,NA,3,0.0,1264.0,82
Standing,NA,3,0.0,1264.0,247
Standing,NA,3,0.0,1264.0,902
Standing,NA,3,0.0,1264.0,564
Standing,NA,3,0.0,1264.0,160
Standing,NA,3,0.0,1264.0,286
Standing,NA,3,0.0,1264.0,153
Standing,NA,3,0.0,1264.0,207
Standing,NA,3,0.0,1264.0,274
Standing,NA,3,0.0,1264.0,54
Standing,NA,3,0.0,1264.0,30
Standing,NA,3,0.0,1264.0,11
Standing,NA,3,0.0,1264.0,8
Standing,NA,3,0.0,1264.0,2
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,3
Standing,NA,3,0.0,1264.0,13
Standing,NA,3,0.0,1264.0,9
Standing,NA,3,0.0,1264.0,4
Standing,NA,3,0.0,1264.0,9
Standing,NA,3,0.0,1264.0,2
Standing,NA,3,0.0,1264.0,2
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,3
Standing,NA,3,0.0,1264.0,38
Standing,NA,3,0.0,1264.0,23
Standing,NA,3,0.0,1264.0,20
Standing,NA,3,0.0,1264.0,16
Standing,NA,3,0.0,1264.0,4
Standing,NA,3,0.0,1264.0,1
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,0
Standing,NA,3,0.0,1264.0,2
Standing,NA,3,0.0,1264.0,14
Standing,NA,3,0.0,1264.0,6
Standing,NA,3,0.0,1264.0,4
Standing,NA,3,0.0,1264.0,6
Standing,NA,3,0.0,1264.0,13
Standing,NA,3,0.0,1264.0,11
Standing,NA,3,0.0,1264.0,45
Standing,NA,3,0.0,1264.0,36
Standing,NA,3,0.0,1264.0,117
