Surface,Type,Facades,s,e,l
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,3
Standing,NA,3,0.0,1306.0,3
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,2
Standing,NA,3,0.0,1306.0,6
Standing,NA,3,0.0,1306.0,6
Standing,NA,3,0.0,1306.0,2
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,2
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,1
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,2
Standing,NA,3,0.0,1306.0,2
Standing,NA,3,0.0,1306.0,2
Standing,NA,3,0.0,1306.0,1
Standing,NA,3,0.0,1306.0,3
Standing,NA,3,0.0,1306.0,2
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,1
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,1
Standing,NA,3,0.0,1306.0,1
Standing,NA,3,0.0,1306.0,1
Standing,NA,3,0.0,1306.0,2
Standing,NA,3,0.0,1306.0,2
Standing,NA,3,0.0,1306.0,0
Standing,NA,3,0.0,1306.0,7
Standing,NA,3,0.0,1306.0,36
Standing,NA,3,0.0,1306.0,14
Standing,NA,3,0.0,1306.0,19
Standing,NA,3,0.0,1306.0,15
Standing,NA,3,0.0,1306.0,21
Standing,NA,3,0.0,1306.0,202
Standing,NA,3,0.0,1306.0,106
Standing,NA,3,0.0,1306.0,97
Standing,NA,3,0.0,1306.0,16
