Surface,Type,Facades,s,e,l
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,1
Standing,NA,3,0.0,1450.0,4
Standing,NA,3,0.0,1450.0,4
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,1
Standing,NA,3,0.0,1450.0,3
Standing,NA,3,0.0,1450.0,2
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,1
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,1
Standing,NA,3,0.0,1450.0,5
Standing,NA,3,0.0,1450.0,4
Standing,NA,3,0.0,1450.0,3
Standing,NA,3,0.0,1450.0,4
Standing,NA,3,0.0,1450.0,11
Standing,NA,3,0.0,1450.0,25
Standing,NA,3,0.0,1450.0,39
Standing,NA,3,0.0,1450.0,43
Standing,NA,3,0.0,1450.0,6
Standing,NA,3,0.0,1450.0,3
Standing,NA,3,0.0,1450.0,2
Standing,NA,3,0.0,1450.0,2
Standing,NA,3,0.0,1450.0,1
Standing,NA,3,0.0,1450.0,3
Standing,NA,3,0.0,1450.0,1
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,2
Standing,NA,3,0.0,1450.0,4
Standing,NA,3,0.0,1450.0,10
Standing,NA,3,0.0,1450.0,2
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
Standing,NA,3,0.0,1450.0,0
