Surface,Type,Facades,s,e,l
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,1
Standing,NA,3,0.0,1271.0,2
Standing,NA,3,0.0,1271.0,1
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,1
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,1
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,16
Standing,NA,3,0.0,1271.0,34
Standing,NA,3,0.0,1271.0,64
Standing,NA,3,0.0,1271.0,32
Standing,NA,3,0.0,1271.0,12
Standing,NA,3,0.0,1271.0,11
Standing,NA,3,0.0,1271.0,12
Standing,NA,3,0.0,1271.0,10
Standing,NA,3,0.0,1271.0,10
Standing,NA,3,0.0,1271.0,6
Standing,NA,3,0.0,1271.0,1
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,1
Standing,NA,3,0.0,1271.0,95
Standing,NA,3,0.0,1271.0,84
Standing,NA,3,0.0,1271.0,9
Standing,NA,3,0.0,1271.0,10
Standing,NA,3,0.0,1271.0,2
Standing,NA,3,0.0,1271.0,3
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,1
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,39
Standing,NA,3,0.0,1271.0,595
Standing,NA,3,0.0,1271.0,1
Standing,NA,3,0.0,1271.0,4
Standing,NA,3,0.0,1271.0,1
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,1
Standing,NA,3,0.0,1271.0,4
Standing,NA,3,0.0,1271.0,15
Standing,NA,3,0.0,1271.0,30
Standing,NA,3,0.0,1271.0,25
Standing,NA,3,0.0,1271.0,7
Standing,NA,3,0.0,1271.0,5
Standing,NA,3,0.0,1271.0,14
Standing,NA,3,0.0,1271.0,5
Standing,NA,3,0.0,1271.0,3
Standing,NA,3,0.0,1271.0,4
Standing,NA,3,0.0,1271.0,3
Standing,NA,3,0.0,1271.0,2
Standing,NA,3,0.0,1271.0,14
Standing,NA,3,0.0,1271.0,142
Standing,NA,3,0.0,1271.0,4
Standing,NA,3,0.0,1271.0,11
Standing,NA,3,0.0,1271.0,9
Standing,NA,3,0.0,1271.0,9
Standing,NA,3,0.0,1271.0,6
Standing,NA,3,0.0,1271.0,4
Standing,NA,3,0.0,1271.0,3
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,0
Standing,NA,3,0.0,1271.0,1
Standing,NA,3,0.0,1271.0,18
Standing,NA,3,0.0,1271.0,22
Standing,NA,3,0.0,1271.0,14
