Surface,Type,Facades,s,e,l
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,1
Standing,NA,3,0.0,2186.0,2
Standing,NA,3,0.0,2186.0,1
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,1
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,1
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,16
Standing,NA,3,0.0,2186.0,34
Standing,NA,3,0.0,2186.0,64
Standing,NA,3,0.0,2186.0,33
Standing,NA,3,0.0,2186.0,12
Standing,NA,3,0.0,2186.0,11
Standing,NA,3,0.0,2186.0,11
Standing,NA,3,0.0,2186.0,11
Standing,NA,3,0.0,2186.0,9
Standing,NA,3,0.0,2186.0,7
Standing,NA,3,0.0,2186.0,3
Standing,NA,3,0.0,2186.0,186
Standing,NA,3,0.0,2186.0,2
Standing,NA,3,0.0,2186.0,95
Standing,NA,3,0.0,2186.0,2
Standing,NA,3,0.0,2186.0,8
Standing,NA,3,0.0,2186.0,10
Standing,NA,3,0.0,2186.0,3
Standing,NA,3,0.0,2186.0,1
Standing,NA,3,0.0,2186.0,1
Standing,NA,3,0.0,2186.0,6
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,1
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,39
Standing,NA,3,0.0,2186.0,595
Standing,NA,3,0.0,2186.0,1
Standing,NA,3,0.0,2186.0,1
Standing,NA,3,0.0,2186.0,1
Standing,NA,3,0.0,2186.0,3
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,10
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
Standing,NA,3,0.0,2186.0,0
