Surface,Type,Facades,s,e,l
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,10
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,2
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,2
Standing,NA,3,0.0,2849.0,0
Standing,NA,3,0.0,2849.0,1
Standing,NA,3,0.0,2849.0,2
Standing,NA,3,0.0,2849.0,12
Standing,NA,3,0.0,2849.0,1
Standing,NA,3,0.0,2849.0,2
Standing,NA,3,0.0,2849.0,1
Standing,NA,3,0.0,2849.0,1
Standing,NA,3,0.0,2849.0,2
Standing,NA,3,0.0,2849.0,3
Standing,NA,3,0.0,2849.0,186
Standing,NA,3,0.0,2849.0,1
Standing,NA,3,0.0,2849.0,0
