Surface,Type,Facades,s,e,l
Floor,Eye,3,0.0,132.0,4
Floor,Eye,3,0.0,132.0,2
Floor,Eye,3,0.0,132.0,4
Floor,Eye,3,0.0,132.0,5
Floor,Eye,3,0.0,132.0,8
Floor,Eye,3,0.0,132.0,2
Floor,Eye,3,0.0,132.0,5
Floor,Eye,3,0.0,132.0,5
Floor,Eye,3,0.0,132.0,5
Floor,Eye,3,0.0,132.0,6
Floor,Eye,3,0.0,132.0,7
Floor,Eye,3,0.0,132.0,6
Floor,Eye,3,0.0,132.0,6
Floor,Eye,3,0.0,132.0,8
Floor,Eye,3,0.0,132.0,7
Floor,Eye,3,0.0,132.0,6
Floor,Eye,3,0.0,132.0,8
Floor,Eye,3,0.0,132.0,6
Floor,Eye,3,0.0,132.0,13
Floor,Eye,3,0.0,132.0,6
Floor,Eye,3,0.0,132.0,8
Floor,Eye,3,0.0,132.0,9
Floor,Eye,3,0.0,132.0,6
Floor,Eye,3,0.0,132.0,16
Floor,Eye,3,0.0,132.0,11
Floor,Eye,3,0.0,132.0,11
Floor,Eye,3,0.0,132.0,14
Floor,Eye,3,0.0,132.0,19
Floor,Eye,3,0.0,132.0,46
Floor,Eye,3,0.0,132.0,31
Floor,Eye,3,0.0,132.0,18
Floor,Eye,3,0.0,132.0,16
Floor,Eye,3,0.0,132.0,18
Floor,Eye,3,0.0,132.0,12
Floor,Eye,3,0.0,132.0,9
Floor,Eye,3,0.0,132.0,17
Floor,Eye,3,0.0,132.0,23
Floor,Eye,3,0.0,132.0,21
Floor,Eye,3,0.0,132.0,23
Floor,Eye,3,0.0,132.0,20
Floor,Eye,3,0.0,132.0,6
Floor,Eye,3,0.0,132.0,6
Floor,Eye,3,0.0,132.0,3
Floor,Eye,3,0.0,132.0,5
Floor,Eye,3,0.0,132.0,10
Floor,Eye,3,0.0,132.0,14
Floor,Eye,3,0.0,132.0,8
Floor,Eye,3,0.0,132.0,12
Floor,Eye,3,0.0,132.0,11
Floor,Eye,3,0.0,132.0,11
Floor,Eye,3,0.0,132.0,8
Floor,Eye,3,0.0,132.0,10
Floor,Eye,3,0.0,132.0,11
Floor,Eye,3,0.0,132.0,13
Floor,Eye,3,0.0,132.0,10
Floor,Eye,3,0.0,132.0,11
Floor,Eye,3,0.0,132.0,19
Floor,Eye,3,0.0,132.0,7
Floor,Eye,3,0.0,132.0,20
Floor,Eye,3,0.0,132.0,17
Floor,Eye,3,0.0,132.0,12
Floor,Eye,3,0.0,132.0,10
Floor,Eye,3,0.0,132.0,14
Floor,Eye,3,0.0,132.0,14
Floor,Eye,3,0.0,132.0,20
Floor,Eye,3,0.0,132.0,22
Floor,Eye,3,0.0,132.0,16
Floor,Eye,3,0.0,132.0,9
Floor,Eye,3,0.0,132.0,20
Floor,Eye,3,0.0,132.0,46
Floor,Eye,3,0.0,132.0,77
Floor,Eye,3,0.0,132.0,73
Floor,Eye,3,0.0,132.0,40
Floor,Eye,3,0.0,132.0,54
Floor,Eye,3,0.0,132.0,38
Floor,Eye,3,0.0,132.0,31
Floor,Eye,3,0.0,132.0,21
Floor,Eye,3,0.0,132.0,29
Floor,Eye,3,0.0,132.0,22
Floor,Eye,3,0.0,132.0,30
Floor,Eye,3,0.0,132.0,30
Floor,Eye,3,0.0,132.0,29
Floor,Eye,3,0.0,132.0,17
Floor,Eye,3,0.0,132.0,5
Floor,Eye,3,0.0,132.0,3
Floor,Eye,3,0.0,132.0,1
Floor,Eye,3,0.0,132.0,4
Floor,Eye,3,0.0,132.0,6
Floor,Eye,3,0.0,132.0,11
Floor,Eye,3,0.0,132.0,10
Floor,Eye,3,0.0,132.0,18
Floor,Eye,3,0.0,132.0,21
Floor,Eye,3,0.0,132.0,20
Floor,Eye,3,0.0,132.0,25
Floor,Eye,3,0.0,132.0,16
Floor,Eye,3,0.0,132.0,15
Floor,Eye,3,0.0,132.0,24
Floor,Eye,3,0.0,132.0,15
Floor,Eye,3,0.0,132.0,21
Floor,Eye,3,0.0,132.0,20
Floor,Eye,3,0.0,132.0,18
Floor,Eye,3,0.0,132.0,18
Floor,Eye,3,0.0,132.0,11
Floor,Eye,3,0.0,132.0,21
Floor,Eye,3,0.0,132.0,27
Floor,Eye,3,0.0,132.0,19
Floor,Eye,3,0.0,132.0,19
Floor,Eye,3,0.0,132.0,22
Floor,Eye,3,0.0,132.0,14
Floor,Eye,3,0.0,132.0,19
Floor,Eye,3,0.0,132.0,28
Floor,Eye,3,0.0,132.0,26
Floor,Eye,3,0.0,132.0,20
Floor,Eye,3,0.0,132.0,22
Floor,Eye,3,0.0,132.0,45
Floor,Eye,3,0.0,132.0,35
Floor,Eye,3,0.0,132.0,43
Floor,Eye,3,0.0,132.0,48
Floor,Eye,3,0.0,132.0,40
Floor,Eye,3,0.0,132.0,25
Floor,Eye,3,0.0,132.0,27
Floor,Eye,3,0.0,132.0,22
Floor,Eye,3,0.0,132.0,27
Floor,Eye,3,0.0,132.0,35
Floor,Eye,3,0.0,132.0,25
Floor,Eye,3,0.0,132.0,27
Floor,Eye,3,0.0,132.0,28
Floor,Eye,3,0.0,132.0,19
Floor,Eye,3,0.0,132.0,11
Floor,Eye,3,0.0,132.0,3
Floor,Eye,3,0.0,132.0,1
Floor,Eye,3,0.0,132.0,1
Floor,Eye,3,0.0,132.0,4
Floor,Eye,3,0.0,132.0,6
Floor,Eye,3,0.0,132.0,14
Floor,Eye,3,0.0,132.0,9
Floor,Eye,3,0.0,132.0,9
Floor,Eye,3,0.0,132.0,15
Floor,Eye,3,0.0,132.0,17
Floor,Eye,3,0.0,132.0,26
Floor,Eye,3,0.0,132.0,26
Floor,Eye,3,0.0,132.0,31
