Surface,Type,Facades,s,e,l
Floor,Eye,3,0.0,234.0,0
Floor,Eye,3,0.0,234.0,0
Floor,Eye,3,0.0,234.0,0
Floor,Eye,3,0.0,234.0,2
Floor,Eye,3,0.0,234.0,0
Floor,Eye,3,0.0,234.0,0
Floor,Eye,3,0.0,234.0,0
Floor,Eye,3,0.0,234.0,1
Floor,Eye,3,0.0,234.0,0
Floor,Eye,3,0.0,234.0,1
Floor,Eye,3,0.0,234.0,2
Floor,Eye,3,0.0,234.0,4
Floor,Eye,3,0.0,234.0,6
Floor,Eye,3,0.0,234.0,3
Floor,Eye,3,0.0,234.0,3
Floor,Eye,3,0.0,234.0,3
Floor,Eye,3,0.0,234.0,3
Floor,Eye,3,0.0,234.0,3
Floor,Eye,3,0.0,234.0,2
Floor,Eye,3,0.0,234.0,1
Floor,Eye,3,0.0,234.0,1
Floor,Eye,3,0.0,234.0,0
Floor,Eye,3,0.0,234.0,0
Floor,Eye,3,0.0,234.0,3
Floor,Eye,3,0.0,234.0,5
Floor,Eye,3,0.0,234.0,2
Floor,Eye,3,0.0,234.0,4
Floor,Eye,3,0.0,234.0,10
Floor,Eye,3,0.0,234.0,6
Floor,Eye,3,0.0,234.0,1
Floor,Eye,3,0.0,234.0,9
Floor,Eye,3,0.0,234.0,12
Floor,Eye,3,0.0,234.0,15
Floor,Eye,3,0.0,234.0,17
Floor,Eye,3,0.0,234.0,6
Floor,Eye,3,0.0,234.0,4
Floor,Eye,3,0.0,234.0,6
Floor,Eye,3,0.0,234.0,4
Floor,Eye,3,0.0,234.0,3
Floor,Eye,3,0.0,234.0,1
Floor,Eye,3,0.0,234.0,0
Floor,Eye,3,0.0,234.0,2
Floor,Eye,3,0.0,234.0,1
Floor,Eye,3,0.0,234.0,1
Floor,Eye,3,0.0,234.0,1
Floor,Eye,3,0.0,234.0,2
Floor,Eye,3,0.0,234.0,2
Floor,Eye,3,0.0,234.0,2
Floor,Eye,3,0.0,234.0,0
Floor,Eye,3,0.0,234.0,1
Floor,Eye,3,0.0,234.0,1
Floor,Eye,3,0.0,234.0,3
Floor,Eye,3,0.0,234.0,3
Floor,Eye,3,0.0,234.0,5
Floor,Eye,3,0.0,234.0,4
Floor,Eye,3,0.0,234.0,1
Floor,Eye,3,0.0,234.0,5
Floor,Eye,3,0.0,234.0,6
Floor,Eye,3,0.0,234.0,3
Floor,Eye,3,0.0,234.0,5
Floor,Eye,3,0.0,234.0,0
Floor,Eye,3,0.0,234.0,5
Floor,Eye,3,0.0,234.0,4
Floor,Eye,3,0.0,234.0,1
Floor,Eye,3,0.0,234.0,4
Floor,Eye,3,0.0,234.0,3
Floor,Eye,3,0.0,234.0,2
Floor,Eye,3,0.0,234.0,9
Floor,Eye,3,0.0,234.0,8
Floor,Eye,3,0.0,234.0,3
Floor,Eye,3,0.0,234.0,6
Floor,Eye,3,0.0,234.0,8
Floor,Eye,3,0.0,234.0,6
Floor,Eye,3,0.0,234.0,7
Floor,Eye,3,0.0,234.0,10
Floor,Eye,3,0.0,234.0,21
Floor,Eye,3,0.0,234.0,4
Floor,Eye,3,0.0,234.0,3
Floor,Eye,3,0.0,234.0,7
Floor,Eye,3,0.0,234.0,1
Floor,Eye,3,0.0,234.0,5
Floor,Eye,3,0.0,234.0,4
Floor,Eye,3,0.0,234.0,2
Floor,Eye,3,0.0,234.0,2
Floor,Eye,3,0.0,234.0,0
Floor,Eye,3,0.0,234.0,0
Floor,Eye,3,0.0,234.0,0
Floor,Eye,3,0.0,234.0,0
Floor,Eye,3,0.0,234.0,1
Floor,Eye,3,0.0,234.0,3
Floor,Eye,3,0.0,234.0,2
Floor,Eye,3,0.0,234.0,0
Floor,Eye,3,0.0,234.0,7
Floor,Eye,3,0.0,234.0,5
Floor,Eye,3,0.0,234.0,6
Floor,Eye,3,0.0,234.0,9
Floor,Eye,3,0.0,234.0,6
Floor,Eye,3,0.0,234.0,7
Floor,Eye,3,0.0,234.0,2
Floor,Eye,3,0.0,234.0,5
Floor,Eye,3,0.0,234.0,4
Floor,Eye,3,0.0,234.0,6
Floor,Eye,3,0.0,234.0,5
Floor,Eye,3,0.0,234.0,6
Floor,Eye,3,0.0,234.0,6
Floor,Eye,3,0.0,234.0,3
Floor,Eye,3,0.0,234.0,6
Floor,Eye,3,0.0,234.0,8
Floor,Eye,3,0.0,234.0,7
Floor,Eye,3,0.0,234.0,3
Floor,Eye,3,0.0,234.0,4
Floor,Eye,3,0.0,234.0,3
Floor,Eye,3,0.0,234.0,4
Floor,Eye,3,0.0,234.0,7
Floor,Eye,3,0.0,234.0,6
Floor,Eye,3,0.0,234.0,7
Floor,Eye,3,0.0,234.0,2
Floor,Eye,3,0.0,234.0,5
Floor,Eye,3,0.0,234.0,13
Floor,Eye,3,0.0,234.0,11
Floor,Eye,3,0.0,234.0,9
Floor,Eye,3,0.0,234.0,4
Floor,Eye,3,0.0,234.0,3
Floor,Eye,3,0.0,234.0,3
Floor,Eye,3,0.0,234.0,7
Floor,Eye,3,0.0,234.0,8
Floor,Eye,3,0.0,234.0,7
Floor,Eye,3,0.0,234.0,13
Floor,Eye,3,0.0,234.0,4
Floor,Eye,3,0.0,234.0,0
Floor,Eye,3,0.0,234.0,0
Floor,Eye,3,0.0,234.0,0
Floor,Eye,3,0.0,234.0,1
Floor,Eye,3,0.0,234.0,2
Floor,Eye,3,0.0,234.0,0
Floor,Eye,3,0.0,234.0,2
Floor,Eye,3,0.0,234.0,3
