Surface,Type,Facades,s,e,l
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,1
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,1
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,2
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,1
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,1
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,3
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,1
Floor,Eye,3,0.0,52.0,4
Floor,Eye,3,0.0,52.0,6
Floor,Eye,3,0.0,52.0,1
Floor,Eye,3,0.0,52.0,7
Floor,Eye,3,0.0,52.0,6
Floor,Eye,3,0.0,52.0,1
Floor,Eye,3,0.0,52.0,3
Floor,Eye,3,0.0,52.0,2
Floor,Eye,3,0.0,52.0,7
Floor,Eye,3,0.0,52.0,5
Floor,Eye,3,0.0,52.0,4
Floor,Eye,3,0.0,52.0,7
Floor,Eye,3,0.0,52.0,5
Floor,Eye,3,0.0,52.0,11
Floor,Eye,3,0.0,52.0,10
Floor,Eye,3,0.0,52.0,5
Floor,Eye,3,0.0,52.0,8
Floor,Eye,3,0.0,52.0,9
Floor,Eye,3,0.0,52.0,10
Floor,Eye,3,0.0,52.0,12
Floor,Eye,3,0.0,52.0,11
Floor,Eye,3,0.0,52.0,29
Floor,Eye,3,0.0,52.0,27
Floor,Eye,3,0.0,52.0,23
Floor,Eye,3,0.0,52.0,33
Floor,Eye,3,0.0,52.0,13
Floor,Eye,3,0.0,52.0,10
Floor,Eye,3,0.0,52.0,13
Floor,Eye,3,0.0,52.0,19
Floor,Eye,3,0.0,52.0,17
Floor,Eye,3,0.0,52.0,16
Floor,Eye,3,0.0,52.0,21
Floor,Eye,3,0.0,52.0,16
Floor,Eye,3,0.0,52.0,14
Floor,Eye,3,0.0,52.0,10
Floor,Eye,3,0.0,52.0,14
Floor,Eye,3,0.0,52.0,7
Floor,Eye,3,0.0,52.0,13
Floor,Eye,3,0.0,52.0,7
Floor,Eye,3,0.0,52.0,8
Floor,Eye,3,0.0,52.0,9
Floor,Eye,3,0.0,52.0,13
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,1
Floor,Eye,3,0.0,52.0,1
Floor,Eye,3,0.0,52.0,1
Floor,Eye,3,0.0,52.0,4
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,4
Floor,Eye,3,0.0,52.0,3
Floor,Eye,3,0.0,52.0,1
Floor,Eye,3,0.0,52.0,2
Floor,Eye,3,0.0,52.0,6
Floor,Eye,3,0.0,52.0,5
Floor,Eye,3,0.0,52.0,8
Floor,Eye,3,0.0,52.0,2
Floor,Eye,3,0.0,52.0,8
Floor,Eye,3,0.0,52.0,7
Floor,Eye,3,0.0,52.0,7
Floor,Eye,3,0.0,52.0,6
Floor,Eye,3,0.0,52.0,8
Floor,Eye,3,0.0,52.0,13
Floor,Eye,3,0.0,52.0,16
Floor,Eye,3,0.0,52.0,14
Floor,Eye,3,0.0,52.0,18
Floor,Eye,3,0.0,52.0,19
Floor,Eye,3,0.0,52.0,19
Floor,Eye,3,0.0,52.0,20
Floor,Eye,3,0.0,52.0,16
Floor,Eye,3,0.0,52.0,9
Floor,Eye,3,0.0,52.0,32
Floor,Eye,3,0.0,52.0,14
Floor,Eye,3,0.0,52.0,13
Floor,Eye,3,0.0,52.0,15
Floor,Eye,3,0.0,52.0,21
Floor,Eye,3,0.0,52.0,18
Floor,Eye,3,0.0,52.0,11
Floor,Eye,3,0.0,52.0,17
Floor,Eye,3,0.0,52.0,13
Floor,Eye,3,0.0,52.0,17
Floor,Eye,3,0.0,52.0,15
Floor,Eye,3,0.0,52.0,15
Floor,Eye,3,0.0,52.0,8
Floor,Eye,3,0.0,52.0,11
Floor,Eye,3,0.0,52.0,16
Floor,Eye,3,0.0,52.0,9
Floor,Eye,3,0.0,52.0,15
Floor,Eye,3,0.0,52.0,10
Floor,Eye,3,0.0,52.0,1
Floor,Eye,3,0.0,52.0,1
Floor,Eye,3,0.0,52.0,3
Floor,Eye,3,0.0,52.0,2
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,0
Floor,Eye,3,0.0,52.0,4
Floor,Eye,3,0.0,52.0,1
Floor,Eye,3,0.0,52.0,5
Floor,Eye,3,0.0,52.0,4
Floor,Eye,3,0.0,52.0,2
Floor,Eye,3,0.0,52.0,7
Floor,Eye,3,0.0,52.0,8
Floor,Eye,3,0.0,52.0,8
Floor,Eye,3,0.0,52.0,9
Floor,Eye,3,0.0,52.0,2
Floor,Eye,3,0.0,52.0,2
Floor,Eye,3,0.0,52.0,9
Floor,Eye,3,0.0,52.0,13
Floor,Eye,3,0.0,52.0,11
