Surface,Type,Facades,s,e,l
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,1
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,1
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,1
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,2
Floor,Eye,3,0.0,87.0,3
Floor,Eye,3,0.0,87.0,1
Floor,Eye,3,0.0,87.0,3
Floor,Eye,3,0.0,87.0,4
Floor,Eye,3,0.0,87.0,5
Floor,Eye,3,0.0,87.0,2
Floor,Eye,3,0.0,87.0,4
Floor,Eye,3,0.0,87.0,4
Floor,Eye,3,0.0,87.0,4
Floor,Eye,3,0.0,87.0,0
Floor,Eye,3,0.0,87.0,6
Floor,Eye,3,0.0,87.0,1
Floor,Eye,3,0.0,87.0,6
Floor,Eye,3,0.0,87.0,5
Floor,Eye,3,0.0,87.0,3
Floor,Eye,3,0.0,87.0,6
Floor,Eye,3,0.0,87.0,3
Floor,Eye,3,0.0,87.0,2
Floor,Eye,3,0.0,87.0,3
Floor,Eye,3,0.0,87.0,7
Floor,Eye,3,0.0,87.0,3
Floor,Eye,3,0.0,87.0,8
Floor,Eye,3,0.0,87.0,5
Floor,Eye,3,0.0,87.0,7
Floor,Eye,3,0.0,87.0,5
Floor,Eye,3,0.0,87.0,2
Floor,Eye,3,0.0,87.0,1
Floor,Eye,3,0.0,87.0,1
Floor,Eye,3,0.0,87.0,3
Floor,Eye,3,0.0,87.0,5
Floor,Eye,3,0.0,87.0,3
Floor,Eye,3,0.0,87.0,5
Floor,Eye,3,0.0,87.0,1
Floor,Eye,3,0.0,87.0,6
Floor,Eye,3,0.0,87.0,1
Floor,Eye,3,0.0,87.0,5
Floor,Eye,3,0.0,87.0,4
