"","Facade","Time","Room","Best"
"1","DYNAMIC_0",289.656,"Conference","Best Performers"
"2","DYNAMIC_30",151.911,"Conference","Best Performers"
"3","DYNAMIC_60",211.643,"Conference","Best Performers"
"4","DYNAMIC_90",107.754,"Conference","Best Performers"
"5","FIN_10_30",465.934,"Conference","Best Performers"
"6","FIN_10_70",804.877,"Conference","Best Performers"
"7","FIN_20_30",245.341,"Conference","Best Performers"
"8","FIN_20_70",310.455,"Conference","Best Performers"
"9","LOUVER_10_30",457.979,"Conference","Best Performers"
"10","LOUVER_10_70",315.501,"Conference","Best Performers"
"11","LOUVER_20_30",157.203,"Conference","Best Performers"
"12","LOUVER_20_70",194.468,"Conference","Best Performers"
"13","FRITT_15_5",328.284,"Conference","Best Performers"
"14","FRITT_15_10",101.006,"Conference","Best Performers"
"15","FRITT_30_5",220.496,"Conference","Best Performers"
"16","FRITT_30_10",128.745,"Conference","Best Performers"
"17","DYNAMIC_0",251.734,"Office","Best Performers"
"18","DYNAMIC_30",152.959,"Office","Best Performers"
"19","DYNAMIC_60",83.221,"Office","Best Performers"
"20","DYNAMIC_90",100.675,"Office","Best Performers"
"21","FIN_10_30",342.117,"Office","Best Performers"
"22","FIN_10_70",224.503,"Office","Best Performers"
"23","FIN_20_30",49.181,"Office","Best Performers"
"24","FIN_20_70",60.394,"Office","Best Performers"
"25","LOUVER_10_30",218.313,"Office","Best Performers"
"26","LOUVER_10_70",242.12,"Office","Best Performers"
"27","LOUVER_20_30",48.64,"Office","Best Performers"
"28","LOUVER_20_70",310.736,"Office","Best Performers"
"29","FRITT_15_5",225.143,"Office","Best Performers"
"30","FRITT_15_10",73.472,"Office","Best Performers"
"31","FRITT_30_5",69.562,"Office","Best Performers"
"32","FRITT_30_10",170.658,"Office","Best Performers"
"33","DYNAMIC_0",98.069,"Conference","Worst Performers"
"34","DYNAMIC_30",177.235,"Conference","Worst Performers"
"35","DYNAMIC_60",194.948,"Conference","Worst Performers"
"36","DYNAMIC_90",171.563,"Conference","Worst Performers"
"37","FIN_10_30",124.541,"Conference","Worst Performers"
"38","FIN_10_70",118.501,"Conference","Worst Performers"
"39","FIN_20_30",143.822,"Conference","Worst Performers"
"40","FIN_20_70",62.067,"Conference","Worst Performers"
"41","LOUVER_10_30",454.301,"Conference","Worst Performers"
"42","LOUVER_10_70",279.764,"Conference","Worst Performers"
"43","LOUVER_20_30",412.861,"Conference","Worst Performers"
"44","LOUVER_20_70",186.818,"Conference","Worst Performers"
"45","FRITT_15_5",199.035,"Conference","Worst Performers"
"46","FRITT_15_10",85.02,"Conference","Worst Performers"
"47","FRITT_30_5",240.986,"Conference","Worst Performers"
"48","FRITT_30_10",219.243,"Conference","Worst Performers"
"49","DYNAMIC_0",203.103,"Office","Worst Performers"
"50","DYNAMIC_30",232.557,"Office","Worst Performers"
"51","DYNAMIC_60",303.044,"Office","Worst Performers"
"52","DYNAMIC_90",173.911,"Office","Worst Performers"
"53","FIN_10_30",313.236,"Office","Worst Performers"
"54","FIN_10_70",444.095,"Office","Worst Performers"
"55","FIN_20_30",219.7,"Office","Worst Performers"
"56","FIN_20_70",429.516,"Office","Worst Performers"
"57","LOUVER_10_30",317.249,"Office","Worst Performers"
"58","LOUVER_10_70",601.092,"Office","Worst Performers"
"59","LOUVER_20_30",215.513,"Office","Worst Performers"
"60","LOUVER_20_70",329.203,"Office","Worst Performers"
"61","FRITT_15_5",333.956,"Office","Worst Performers"
"62","FRITT_15_10",182.005,"Office","Worst Performers"
"63","FRITT_30_5",195.605,"Office","Worst Performers"
"64","FRITT_30_10",105.999,"Office","Worst Performers"
