Facade,Glare,Total,Daylit,Total
Pos1_9_facade1_0,943,6385,2252,6385
Pos1_12_facade1_0,1145,6385,2062,6385
Pos1_15_facade1_0,203,6385,2268,6385
Pos1_9_facade1_30,952,6385,2253,6385
Pos1_12_facade1_30,1335,6385,1888,6385
Pos1_15_facade1_30,338,6385,2243,6385
Pos1_9_facade1_60,1014,6385,2208,6385
Pos1_12_facade1_60,1722,6385,1530,6385
Pos1_15_facade1_60,674,6385,2162,6385
Pos1_9_facade1_90,1163,6385,2099,6385
Pos1_12_facade1_90,2045,6385,1241,6385
Pos1_15_facade1_90,926,6385,2156,6385
Pos1_9_fin_10_30,1202,6385,2048,6385
Pos1_12_fin_10_30,2005,6385,1283,6385
Pos1_15_fin_10_30,892,6385,2168,6385
Pos1_9_fin_10_70,973,6385,2240,6385
Pos1_12_fin_10_70,1437,6385,1809,6385
Pos1_15_fin_10_70,499,6385,2240,6385
Pos1_9_fin_20_30,1194,6385,2052,6385
Pos1_12_fin_20_30,1990,6385,1293,6385
Pos1_15_fin_20_30,886,6385,2140,6385
Pos1_9_fin_20_70,978,6385,2230,6385
Pos1_12_fin_20_70,1476,6385,1773,6385
Pos1_15_fin_20_70,455,6385,2284,6385
Pos1_9_fritt_15_5,1478,6385,1810,6385
Pos1_12_fritt_15_5,2235,6385,1067,6385
Pos1_15_fritt_15_5,1072,6385,2148,6385
Pos1_9_fritt_15_10,1430,6385,1851,6385
Pos1_12_fritt_15_10,2210,6385,1089,6385
Pos1_15_fritt_15_10,1046,6385,2153,6385
Pos1_9_fritt_30_5,1412,6385,1873,6385
Pos1_12_fritt_30_5,2221,6385,1079,6385
Pos1_15_fritt_30_5,1057,6385,2134,6385
Pos1_9_fritt_30_10,1200,6385,2050,6385
Pos1_12_fritt_30_10,2093,6385,1191,6385
Pos1_15_fritt_30_10,916,6385,2165,6385
Pos1_9_louver_hor_10_30,1161,6385,2112,6385
Pos1_12_louver_hor_10_30,2050,6385,1249,6385
Pos1_15_louver_hor_10_30,923,6385,2181,6385
Pos1_9_louver_hor_10_75,968,6385,2254,6385
Pos1_12_louver_hor_10_75,1588,6385,1673,6385
Pos1_15_louver_hor_10_75,550,6385,2195,6385
Pos1_9_louver_hor_20_30,1159,6385,2100,6385
Pos1_12_louver_hor_20_30,2065,6385,1221,6385
Pos1_15_louver_hor_20_30,904,6385,2143,6385
Pos1_9_louver_hor_20_75,976,6385,2244,6385
Pos1_12_louver_hor_20_75,1624,6385,1628,6385
Pos1_15_louver_hor_20_75,474,6385,2293,6385
Pos1_9_louver_hor_10_30_5,940,6385,2253,6385
Pos1_12_louver_hor_10_30_5,1100,6385,2100,6385
Pos1_15_louver_hor_10_30_5,161,6385,2269,6385
Pos1_9_louver_hor_10_30_5_10,932,6385,2259,6385
Pos1_12_louver_hor_10_30_5_10,1027,6385,2171,6385
Pos1_15_louver_hor_10_30_5_10,108,6385,2306,6385
Pos1_9_louver_hor_10_30_5_20,940,6385,2252,6385
