Facade,Glare,Total,Daylit,Total
Pos1_9_facade1_0,159,2756,316,2756
Pos1_12_facade1_0,203,2756,296,2756
Pos1_15_facade1_0,89,2756,131,2756
Pos1_9_facade1_30,160,2756,766,2756
Pos1_12_facade1_30,376,2756,580,2756
Pos1_15_facade1_30,141,2756,363,2756
Pos1_9_facade1_60,169,2756,1018,2756
Pos1_12_facade1_60,709,2756,498,2756
Pos1_15_facade1_60,311,2756,621,2756
Pos1_9_facade1_90,257,2756,972,2756
Pos1_12_facade1_90,961,2756,278,2756
Pos1_15_facade1_90,452,2756,684,2756
Pos1_9_louver_hor_10_30,273,2756,961,2756
Pos1_12_louver_hor_10_30,908,2756,334,2756
Pos1_15_louver_hor_10_30,461,2756,650,2756
Pos1_9_louver_hor_10_75,144,2756,995,2756
Pos1_12_louver_hor_10_75,600,2756,571,2756
Pos1_15_louver_hor_10_75,314,2756,499,2756
Pos1_9_louver_hor_20_30,281,2756,952,2756
Pos1_12_louver_hor_20_30,964,2756,273,2756
Pos1_15_louver_hor_20_30,511,2756,623,2756
Pos1_9_louver_hor_20_75,177,2756,998,2756
Pos1_12_louver_hor_20_75,648,2756,532,2756
Pos1_15_louver_hor_20_75,359,2756,505,2756
Pos1_9_fin_10_30,284,2756,932,2756
Pos1_12_fin_10_30,873,2756,367,2756
Pos1_15_fin_10_30,451,2756,644,2756
Pos1_9_fin_10_70,155,2756,943,2756
Pos1_12_fin_10_70,500,2756,628,2756
Pos1_15_fin_10_70,218,2756,555,2756
Pos1_9_fin_20_30,300,2756,924,2756
Pos1_12_fin_20_30,897,2756,344,2756
Pos1_15_fin_20_30,491,2756,617,2756
Pos1_9_fin_20_70,148,2756,971,2756
Pos1_12_fin_20_70,566,2756,572,2756
Pos1_15_fin_20_70,211,2756,605,2756
Pos1_9_fritt_15_5,457,2756,783,2756
Pos1_12_fritt_15_5,1051,2756,207,2756
Pos1_15_fritt_15_5,584,2756,609,2756
Pos1_9_fritt_15_10,428,2756,811,2756
Pos1_12_fritt_15_10,1035,2756,220,2756
Pos1_15_fritt_15_10,569,2756,613,2756
Pos1_9_fritt_30_5,428,2756,811,2756
Pos1_12_fritt_30_5,1035,2756,220,2756
Pos1_15_fritt_30_5,572,2756,614,2756
Pos1_9_fritt_30_10,289,2756,943,2756
Pos1_12_fritt_30_10,937,2756,305,2756
Pos1_15_fritt_30_10,501,2756,617,2756
