Facade,Glare,Total,Daylit,Total
Pos1_9_facade1_0,217,6385,1534,6385
Pos1_12_facade1_0,372,6385,1289,6385
Pos1_15_facade1_0,144,6385,385,6385
Pos1_9_facade1_30,221,6385,2373,6385
Pos1_12_facade1_30,660,6385,1958,6385
Pos1_15_facade1_30,245,6385,1036,6385
Pos1_9_facade1_60,254,6385,2832,6385
Pos1_12_facade1_60,1337,6385,1820,6385
Pos1_15_facade1_60,597,6385,1735,6385
Pos1_9_facade1_90,644,6385,2599,6385
Pos1_12_facade1_90,1788,6385,1490,6385
Pos1_15_facade1_90,920,6385,2012,6385
Pos1_9_fin_10_30,755,6385,2471,6385
Pos1_12_fin_10_30,1735,6385,1541,6385
Pos1_15_fin_10_30,889,6385,2010,6385
Pos1_9_fin_10_70,220,6385,2686,6385
Pos1_12_fin_10_70,851,6385,2123,6385
Pos1_15_fin_10_70,405,6385,1561,6385
Pos1_9_fin_20_30,755,6385,2465,6385
Pos1_12_fin_20_30,1709,6385,1562,6385
Pos1_15_fin_20_30,882,6385,2000,6385
Pos1_9_fin_20_70,215,6385,2716,6385
Pos1_12_fin_20_70,881,6385,2122,6385
Pos1_15_fin_20_70,385,6385,1626,6385
Pos1_9_fritt_15_5,1453,6385,1835,6385
Pos1_12_fritt_15_5,2228,6385,1074,6385
Pos1_15_fritt_15_5,1072,6385,2146,6385
Pos1_9_fritt_15_10,1335,6385,1943,6385
Pos1_12_fritt_15_10,2163,6385,1136,6385
Pos1_15_fritt_15_10,1046,6385,2143,6385
Pos1_9_fritt_30_5,1313,6385,1972,6385
Pos1_12_fritt_30_5,2190,6385,1110,6385
Pos1_15_fritt_30_5,1057,6385,2120,6385
Pos1_9_fritt_30_10,785,6385,2448,6385
Pos1_12_fritt_30_10,1884,6385,1394,6385
Pos1_15_fritt_30_10,915,6385,2054,6385
Pos1_9_louver_hor_10_30,574,6385,2693,6385
Pos1_12_louver_hor_10_30,1812,6385,1485,6385
Pos1_15_louver_hor_10_30,916,6385,2044,6385
Pos1_9_louver_hor_10_75,203,6385,2751,6385
Pos1_12_louver_hor_10_75,1060,6385,2005,6385
Pos1_15_louver_hor_10_75,503,6385,1408,6385
Pos1_9_louver_hor_20_30,683,6385,2561,6385
Pos1_12_louver_hor_20_30,1851,6385,1432,6385
Pos1_15_louver_hor_20_30,902,6385,1968,6385
Pos1_9_louver_hor_20_75,217,6385,2781,6385
Pos1_12_louver_hor_20_75,1097,6385,1992,6385
Pos1_15_louver_hor_20_75,420,6385,1585,6385
