Facade,Glare,Total,Daylit,Total
Pos1_9_facade1_0,143,2701,397,2701
Pos1_12_facade1_0,198,2701,364,2701
Pos1_15_facade1_0,81,2701,146,2701
Pos1_9_facade1_30,142,2701,921,2701
Pos1_12_facade1_30,378,2701,728,2701
Pos1_15_facade1_30,146,2701,441,2701
Pos1_9_facade1_60,156,2701,1206,2701
Pos1_12_facade1_60,775,2701,599,2701
Pos1_15_facade1_60,369,2701,809,2701
Pos1_9_facade1_90,241,2701,1141,2701
Pos1_12_facade1_90,1054,2701,336,2701
Pos1_15_facade1_90,546,2701,800,2701
Pos1_9_fin_10_30,275,2701,1110,2701
Pos1_12_fin_10_30,953,2701,439,2701
Pos1_15_fin_10_30,544,2701,793,2701
Pos1_9_fin_10_70,147,2701,1095,2701
Pos1_12_fin_10_70,533,2701,766,2701
Pos1_15_fin_10_70,259,2701,693,2701
Pos1_9_fin_20_30,303,2701,1081,2701
Pos1_12_fin_20_30,993,2701,397,2701
Pos1_15_fin_20_30,561,2701,766,2701
Pos1_9_fin_20_70,142,2701,1133,2701
Pos1_12_fin_20_70,604,2701,705,2701
Pos1_15_fin_20_70,260,2701,757,2701
Pos1_9_fritt_15_5,475,2701,919,2701
Pos1_12_fritt_15_5,1155,2701,240,2701
Pos1_15_fritt_15_5,703,2701,679,2701
Pos1_9_fritt_15_10,423,2701,961,2701
Pos1_12_fritt_15_10,1128,2701,256,2701
Pos1_15_fritt_15_10,677,2701,691,2701
Pos1_9_fritt_30_5,432,2701,960,2701
Pos1_12_fritt_30_5,1136,2701,258,2701
Pos1_15_fritt_30_5,684,2701,694,2701
Pos1_9_fritt_30_10,262,2701,1102,2701
Pos1_12_fritt_30_10,1018,2701,350,2701
Pos1_15_fritt_30_10,581,2701,744,2701
Pos1_9_louver_hor_10_30,286,2701,1104,2701
Pos1_12_louver_hor_10_30,1045,2701,346,2701
Pos1_15_louver_hor_10_30,579,2701,762,2701
Pos1_9_louver_hor_10_75,141,2701,1167,2701
Pos1_12_louver_hor_10_75,652,2701,693,2701
Pos1_15_louver_hor_10_75,385,2701,641,2701
Pos1_9_louver_hor_20_30,264,2701,1130,2701
Pos1_12_louver_hor_20_30,1073,2701,322,2701
Pos1_15_louver_hor_20_30,610,2701,747,2701
Pos1_9_louver_hor_20_75,141,2701,1197,2701
Pos1_12_louver_hor_20_75,697,2701,648,2701
Pos1_15_louver_hor_20_75,393,2701,724,2701
