"Facade","Room","VF_Percentage","DL_Percentage","G_Percentage","Distance","Optimal","Rank","DL_Rank","VF_Rank","G_Rank","FromOptimal"
"DYNAMIC_0","Conference",0.086035713,0.167475854666667,0.038266771,0,1,8,16,16,1,0.91476503194765
"DYNAMIC_30","Conference",0.145114814,0.280187940666667,0.0587836073333333,0,1,6,12,15,2,0.856903841590977
"FIN_10_70","Conference",0.278688525,0.332550247666667,0.0770555993333333,0,1,2,3,11,3,0.725415611463728
"FIN_20_70","Conference",0.256830601,0.337457583,0.0773166273333333,0.00322104897057475,0,11,1,13,4,0.747180444385573
"LOUVER_20_70","Conference",0.256830601,0.331923779666667,0.090524667,0.00662331300389982,0,14,4,14,5,0.748662454611878
"LOUVER_10_70","Conference",0.275956284,0.321795875666667,0.0921952493333333,0.00434090424899884,0,13,6,12,6,0.729889900381368
"DYNAMIC_60","Conference",0.402423184,0.333437745,0.114226050666667,0,1,1,2,10,7,0.608395957967837
"LOUVER_10_30","Conference",0.680327869,0.324823806,0.172383189666667,0,1,3,5,5,8,0.363188980308785
"FIN_20_30","Conference",0.658469945,0.314643696333333,0.174680240333333,0.00310643235764531,0,10,8,8,9,0.383609130276137
"DYNAMIC_90","Conference",0.750634537,0.318506917,0.174993474333333,0,1,4,7,4,10,0.304640526188581
"FIN_10_30","Conference",0.677595628,0.314382667666667,0.176403028,0.00411844109404927,0,12,9,6,11,0.367508649384315
"LOUVER_20_30","Conference",0.658469945,0.311198120333333,0.179378752333333,0.00780170943158235,0,15,10,9,12,0.385771325083872
"FRITT_30_10","Conference",0.903311535,0.307804750333333,0.187105194333333,0,1,5,11,3,13,0.210611046743922
"FRITT_15_10","Conference",0.976686375,0.272618115333333,0.237222657333333,0,1,7,13,1,14,0.238365505606262
"FRITT_30_5","Conference",0.669346651,0.271574001666667,0.238057948333333,0.0026257001906567,0,9,14,7,15,0.407434932191131
"FRITT_15_5","Conference",0.919645257,0.263899765333333,0.248133646666667,0.0205605680053065,0,16,15,2,16,0.260820227993716
"DYNAMIC_0","Office",0.086035713,0.111933851666667,0.0520794766666667,0,1,8,16,16,1,0.915446879835904
"DYNAMIC_30","Office",0.145114814,0.257929162,0.0821917806666667,0,1,6,12,15,2,0.8588272061663
"FIN_10_70","Office",0.278688525,0.315191904,0.115883006333333,0,1,2,4,11,3,0.730560822330028
"FIN_20_70","Office",0.256830601,0.320251758666667,0.124151548666667,0.00534457699242068,0,11,2,13,4,0.753468222718353
"LOUVER_10_70","Office",0.275956284,0.308651116666667,0.145378255,0.00312073983316914,0,9,5,12,5,0.738494508920638
"LOUVER_20_70","Office",0.256830601,0.317043070666667,0.151919042333333,0.0113919131138848,0,14,3,14,6,0.758538167156735
"DYNAMIC_60","Office",0.402423184,0.322596569333333,0.160434407,0,1,1,1,10,7,0.61873843421121
"FIN_10_30","Office",0.677595628,0.289028754666667,0.218684437666667,0,1,3,6,6,8,0.389573436417706
"DYNAMIC_90","Office",0.750634537,0.281007034666667,0.227199802666667,0,1,4,7,4,9,0.337346831123366
"FIN_20_30","Office",0.658469945,0.276934468666667,0.22917438,0.0034640846442266,0,10,8,8,10,0.41129511900421
"FRITT_30_10","Office",0.903311535,0.271010736666667,0.229668024,0,1,5,11,3,11,0.249190811452029
"LOUVER_10_30","Office",0.680327869,0.272985314,0.235715167333333,0.00965070195754827,0,12,9,5,12,0.397179948447882
"LOUVER_20_30","Office",0.658469945,0.27138097,0.240281377333333,0.0116142862527638,0,15,10,9,13,0.41758582203124
"FRITT_15_10","Office",0.976686375,0.235468345,0.274959891333333,0,1,7,14,1,14,0.275946492916071
"FRITT_30_5","Office",0.669346651,0.235961989333333,0.277921757666667,0.0201157832309416,0,16,13,7,15,0.431939973363713
"FRITT_15_5","Office",0.919645257,0.226829569333333,0.287918055,0.010052050858486,0,13,15,2,16,0.29892087768769
