Type,Current,Facade,Position,Room,Time,Radiation,Visible,Setting_Changed,Head_Position_X,Head_Position_Y,Head_Position_Z,Head_Rotation_X,Head_Rotation_Y,Head_Rotation_Z,Facade_Position_X,Facade_Position_Y,Facade_Position_Z,Facade_Rotation_X,Facade_Rotation_Y,Facade_Rotation_Z,Gaze_Valid,Gaze_Origin_X,Gaze_Origin_Y,Gaze_Origin_Z,Gaze_Direction_X,Gaze_Direction_Y,Gaze_Direction_Z,Gaze_Confidence,Start_Task,Undo_Task,End_Task
Head,0.373997,,,,,,,,0.000,120.000,112.001,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,10.127,0.444,6.916,0.996,0.058,-0.074,1.0,,,
Head,0.628648,,,,,,,,9.659,119.905,119.018,-7.007487,-0.433120,0.658506,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,10.464,-0.539,6.907,0.995,0.062,-0.079,1.0,,,
Head,0.895771,,,,,,,,9.911,119.739,118.980,-7.361161,-0.436484,0.673921,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,10.674,-0.097,6.838,0.995,0.063,-0.080,1.0,,,
Head,1.159358,,,,,,,,9.941,119.553,118.914,-7.803108,-0.635977,0.368141,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,10.707,-0.512,6.807,0.995,-0.078,-0.068,1.0,,,
Head,1.423823,,,,,,,,9.841,119.430,118.853,-8.571464,-0.738148,0.220205,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,10.661,-1.063,6.720,0.994,-0.072,-0.082,1.0,,,
Head,1.67652,,,,,,,,9.743,119.314,118.793,-8.840552,-0.809136,0.300495,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,10.538,-1.334,6.673,0.994,-0.072,-0.085,1.0,,,
Head,1.939751,,,,,,,,9.445,119.286,118.860,-8.423624,-0.767539,0.181187,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,10.255,-1.266,6.746,0.994,-0.069,-0.083,1.0,,,
Head,2.201105,,,,,,,,9.047,119.386,119.159,-6.069135,-0.698823,0.019790,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,9.837,-1.083,7.062,0.995,-0.079,-0.062,1.0,,,
Head,2.461312,,,,,,,,8.372,119.502,119.689,-2.316581,-1.029210,0.134426,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,9.196,-0.828,7.597,0.996,-0.081,-0.032,1.0,,,
Head,2.719262,,,,,,,,7.226,119.317,120.439,4.623061,-2.376940,-1.668564,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,7.994,-0.306,8.617,0.966,0.054,0.254,1.0,,,
Head,2.984535,,,,,,,,6.028,119.125,120.993,9.000147,-2.593680,-2.407414,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,6.826,-0.713,9.124,0.973,0.037,0.229,1.0,,,
Head,3.241739,,,,,,,,4.727,119.021,121.525,14.280107,-2.379179,-2.661830,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,5.465,-0.772,9.798,0.909,0.015,0.417,1.0,,,
Head,3.49893,,,,,,,,3.247,119.059,122.009,19.275223,-2.348208,-3.273594,0.000,0.000,0.000,0.000000,0.000000,0.000000,true,3.943,-0.644,10.355,0.869,0.015,0.495,1.0,,,
